CALL ID,Call_Date,Product,Resolved_Ontime,Service,Support_Rep,Minutes_On_Phone,Severity,Failure_Type,Customer_Type,Customer Sat Rating,TTA,Vendor
24,1/2/2013,Infinite Gold Card,Yes,Credit Services,Ali Hasem,57,Medium,Phone,Institutional,Poor,13,Telesynch
25,1/2/2013,Variable Annuities,Yes,Investment Services,Brian Locke,27,Medium,Phone,Institutional,Poor,5,Telesynch
26,1/2/2013,Variable Annuities,No,Investment Services,Chen Lee,23,High,Chat,Institutional,Poor,2,Telesynch
27,1/2/2013,Checking Accounts,No,Banking Services,Brad Stein,26,Medium,Phone,Commercial,Poor,15,Telesynch
28,1/2/2013,Silver Plus Card,No,Credit Services,Kumar Prasad,29,High,Chat,Institutional,Poor,2,Telesynch
29,1/2/2013,Silver Plus Card,No,Credit Services,Brad Stein,40,Low,Chat,Reseller,Poor,1,Telesynch
30,1/2/2013,Mutual Funds,Yes,Investment Services,Jen Garcia,52,High,Chat,Government,Poor,13,Telesynch
31,1/4/2013,Checking Accounts,No,Banking Services,Ali Hasem,54,Medium,Chat,Commercial,Poor,2,Telesynch
32,1/4/2013,Silver Plus Card,No,Credit Services,Chen Lee,41,High,Phone,Direct,Poor,9,Telesynch
33,1/4/2013,Retirement,Yes,Investment Services,Jen Garcia,39,Low,Phone,Commercial,Poor,6,Telesynch
34,1/4/2013,Silver Plus Card,Yes,Credit Services,Brad Stein,52,High,Phone,Reseller,Poor,11,Telesynch
35,1/4/2013,Checking Accounts,Yes,Banking Services,Brian Locke,47,High,Phone,Direct,Poor,15,Telesynch
36,1/4/2013,Mutual Funds,Yes,Investment Services,Kumar Prasad,25,Low,Phone,Government,Poor,4,Telesynch
37,1/4/2013,Checking Accounts,Yes,Banking Services,Jen Garcia,14,Low,Phone,Reseller,Poor,18,Telesynch
38,1/4/2013,Retirement,Yes,Investment Services,Vamsi Haji,48,Medium,Phone,Commercial,Poor,16,Telesynch
39,1/4/2013,Checking Accounts,No,Banking Services,Sheila Straton,41,Low,Phone,Direct,Poor,20,Telesynch
40,1/4/2013,Silver Plus Card,No,Credit Services,Jen Garcia,30,Low,Chat,Institutional,Poor,6,Telesynch
41,1/4/2013,Silver Plus Card,Yes,Credit Services,Jen Garcia,29,Medium,Phone,Institutional,Poor,18,Telesynch
42,1/4/2013,Mutual Funds,Yes,Investment Services,Sheila Straton,8,High,Chat,Institutional,Poor,6,Telesynch
43,1/11/2013,Securities Brokerage,Yes,Investment Services,Kumar Prasad,17,High,Phone,Direct,Poor,10,Telesynch
44,1/11/2013,Securities Brokerage,No,Investment Services,Chen Lee,30,High,Phone,Commercial,Poor,8,Telesynch
45,1/14/2013,Platinum Plus Card,Yes,Credit Services,Cindy Yu,23,High,Chat,Direct,Poor,7,Telesynch
46,1/14/2013,Mutual Funds,Yes,Investment Services,Kumar Prasad,37,Low,Phone,Direct,Poor,13,Telesynch
47,1/14/2013,Platinum Plus Card,Yes,Credit Services,Ali Hasem,19,High,Phone,Institutional,Poor,1,Telesynch
48,1/14/2013,Mutual Funds,Yes,Investment Services,Sheila Straton,37,Low,Phone,Institutional,Poor,9,Telesynch
49,1/19/2013,Checking Accounts,Yes,Banking Services,Jen Garcia,16,Low,Chat,Institutional,Poor,3,Telesynch
50,1/19/2013,Securities Brokerage,No,Investment Services,Brad Stein,46,Medium,Phone,Commercial,Poor,17,Telesynch
51,1/19/2013,Checking Accounts,No,Banking Services,Ali Hasem,34,High,Phone,Institutional,Poor,10,Telesynch
52,1/19/2013,Securities Brokerage,Yes,Investment Services,Jen Garcia,56,Low,Chat,Institutional,Poor,14,Telesynch
53,1/20/2013,Checking Accounts,Yes,Banking Services,Brian Locke,10,High,Chat,Commercial,Poor,4,Telesynch
54,1/20/2013,Silver Plus Card,Yes,Credit Services,Jen Garcia,11,Medium,Chat,Government,Poor,10,Telesynch
55,1/20/2013,Checking Accounts,No,Banking Services,Vamsi Haji,17,Medium,Chat,Commercial,Poor,7,Telesynch
56,1/20/2013,Silver Plus Card,Yes,Credit Services,Kumar Prasad,37,Low,Chat,Direct,Poor,15,Telesynch
57,1/21/2013,Checking Accounts,Yes,Banking Services,Ali Hasem,57,Low,Chat,Direct,Poor,12,Telesynch
58,1/21/2013,Infinite Gold Card,Yes,Credit Services,Cindy Yu,23,Low,Chat,Direct,Poor,20,Telesynch
59,1/21/2013,Infinite Gold Card,Yes,Credit Services,Chen Lee,36,Low,Chat,Direct,Poor,5,Telesynch
60,1/21/2013,Checking Accounts,Yes,Banking Services,Brian Locke,47,High,Chat,Government,Poor,12,Telesynch
61,1/21/2013,Infinite Gold Card,Yes,Credit Services,Bill Jones,54,Low,Phone,Direct,Poor,19,Telesynch
62,1/21/2013,Infinite Gold Card,No,Credit Services,Sheila Straton,13,High,Chat,Government,Poor,13,Telesynch
63,1/22/2013,Securities Brokerage,No,Investment Services,Vamsi Haji,50,High,Chat,Direct,Poor,3,Telesynch
64,1/22/2013,Rewards Card,No,Credit Services,Cindy Yu,45,Low,Chat,Commercial,Poor,7,Telesynch
65,1/22/2013,Silver Plus Card,No,Credit Services,Jen Garcia,28,Medium,Phone,Government,Poor,4,Telesynch
66,1/22/2013,Securities Brokerage,Yes,Investment Services,Ali Hasem,47,Low,Chat,Direct,Poor,18,Telesynch
67,1/22/2013,Securities Brokerage,No,Investment Services,Vamsi Haji,55,Medium,Chat,Reseller,Poor,20,Telesynch
68,1/22/2013,Securities Brokerage,No,Investment Services,Ali Hasem,16,Low,Chat,Institutional,Poor,12,Telesynch
69,1/22/2013,Rewards Card,No,Credit Services,Jen Garcia,10,High,Phone,Government,Poor,20,Telesynch
70,1/22/2013,Silver Plus Card,Yes,Credit Services,Kumar Prasad,25,High,Chat,Government,Poor,14,Telesynch
71,1/23/2013,Infinite Gold Card,Yes,Credit Services,Vamsi Haji,59,Low,Phone,Direct,Poor,19,Telesynch
72,1/23/2013,Infinite Gold Card,Yes,Credit Services,Bill Jones,33,Low,Chat,Direct,Poor,18,Telesynch
73,1/29/2013,Retirement,Yes,Investment Services,Vamsi Haji,16,High,Phone,Government,Poor,13,Telesynch
74,1/29/2013,Silver Plus Card,Yes,Credit Services,Cindy Yu,32,Low,Phone,Reseller,Poor,16,Telesynch
75,1/29/2013,Retirement,No,Investment Services,Brad Stein,32,High,Chat,Commercial,Poor,12,Telesynch
76,1/29/2013,Silver Plus Card,Yes,Credit Services,Brian Locke,10,High,Phone,Government,Poor,19,Telesynch
77,1/31/2013,Checking Accounts,Yes,Banking Services,Vamsi Haji,14,Low,Chat,Institutional,Poor,15,Telesynch
78,1/31/2013,Silver Plus Card,Yes,Credit Services,Vamsi Haji,39,Medium,Chat,Institutional,Poor,4,Telesynch
79,1/31/2013,Checking Accounts,No,Banking Services,Chen Lee,10,Medium,Chat,Direct,Poor,4,Telesynch
80,1/31/2013,Silver Plus Card,No,Credit Services,Chen Lee,58,Medium,Chat,Direct,Poor,13,Telesynch
81,2/1/2013,Infinite Gold Card,Yes,Credit Services,Bill Jones,42,Low,Chat,Institutional,Poor,16,Telesynch
82,2/1/2013,Infinite Gold Card,Yes,Credit Services,Bill Jones,57,Medium,Chat,Commercial,Poor,12,Telesynch
83,2/2/2013,Securities Brokerage,Yes,Investment Services,Vamsi Haji,48,Medium,Phone,Commercial,Poor,13,Telesynch
84,2/2/2013,Savings and Money Market,Yes,Banking Services,Cindy Yu,39,High,Chat,Government,Poor,8,Telesynch
85,2/2/2013,Silver Plus Card,Yes,Credit Services,Sheila Straton,47,Low,Phone,Reseller,Poor,1,Telesynch
86,2/2/2013,Securities Brokerage,Yes,Investment Services,Ali Hasem,41,Low,Phone,Institutional,Poor,16,Telesynch
87,2/2/2013,Savings and Money Market,No,Banking Services,Vamsi Haji,12,Medium,Chat,Government,Poor,11,Telesynch
88,2/2/2013,Silver Plus Card,No,Credit Services,Chen Lee,47,High,Chat,Direct,Poor,6,Telesynch
89,2/3/2013,Rewards Card,Yes,Credit Services,Sheila Straton,30,Low,Phone,Direct,Poor,8,Telesynch
90,2/3/2013,Certificate of Deposit,Yes,Banking Services,Jen Garcia,59,Low,Phone,Institutional,Poor,14,Telesynch
91,2/3/2013,Rewards Card,Yes,Credit Services,Jen Garcia,42,Medium,Chat,Government,Poor,13,Telesynch
92,2/3/2013,Mutual Funds,Yes,Investment Services,Sheila Straton,21,Medium,Phone,Government,Poor,18,Telesynch
93,2/3/2013,Platinum Plus Card,Yes,Credit Services,Jen Garcia,42,Low,Chat,Commercial,Poor,10,Telesynch
94,2/3/2013,Mutual Funds,Yes,Investment Services,Jen Garcia,59,High,Phone,Government,Poor,6,Telesynch
95,2/3/2013,Platinum Plus Card,Yes,Credit Services,Brian Locke,22,Medium,Phone,Institutional,Poor,1,Telesynch
96,2/3/2013,Rewards Card,No,Credit Services,Chen Lee,23,Medium,Phone,Reseller,Poor,10,Telesynch
97,2/3/2013,Rewards Card,No,Credit Services,Brad Stein,40,Medium,Phone,Reseller,Poor,7,Telesynch
98,2/3/2013,Mutual Funds,Yes,Investment Services,Chen Lee,43,Medium,Chat,Reseller,Poor,13,Telesynch
99,2/3/2013,Certificate of Deposit,Yes,Banking Services,Brad Stein,36,High,Phone,Government,Poor,3,Telesynch
100,2/3/2013,Mutual Funds,No,Investment Services,Cindy Yu,57,High,Phone,Commercial,Poor,10,Telesynch
101,2/4/2013,Variable Annuities,Yes,Investment Services,Vamsi Haji,21,High,Chat,Government,Poor,15,Telesynch
102,2/4/2013,Certificate of Deposit,Yes,Banking Services,Brad Stein,32,Low,Phone,Direct,Poor,2,Telesynch
103,2/4/2013,Variable Annuities,Yes,Investment Services,Cindy Yu,41,Medium,Phone,Direct,Poor,10,Telesynch
104,2/4/2013,Certificate of Deposit,Yes,Banking Services,Kumar Prasad,10,Medium,Chat,Direct,Poor,19,Telesynch
105,2/12/2013,Rewards Card,No,Credit Services,Cindy Yu,14,Low,Chat,Direct,Poor,6,Telesynch
106,2/12/2013,Silver Plus Card,No,Credit Services,Vamsi Haji,49,Low,Chat,Reseller,Poor,12,Telesynch
107,2/12/2013,Rewards Card,No,Credit Services,Cindy Yu,40,Medium,Chat,Reseller,Poor,8,Telesynch
108,2/12/2013,Silver Plus Card,Yes,Credit Services,Chen Lee,42,Low,Chat,Government,Poor,10,Telesynch
109,2/13/2013,Securities Brokerage,Yes,Investment Services,Sheila Straton,37,High,Phone,Commercial,Poor,13,Telesynch
110,2/13/2013,Securities Brokerage,No,Investment Services,Chen Lee,54,Medium,Chat,Reseller,Poor,15,Telesynch
111,2/19/2013,Checking Accounts,No,Banking Services,Jen Garcia,35,Low,Phone,Government,Poor,12,Telesynch
112,2/19/2013,Silver Plus Card,No,Credit Services,Brad Stein,37,Medium,Chat,Institutional,Poor,16,Telesynch
113,2/19/2013,Checking Accounts,No,Banking Services,Kumar Prasad,44,Low,Phone,Commercial,Poor,18,Telesynch
114,2/19/2013,Silver Plus Card,No,Credit Services,Ali Hasem,57,High,Phone,Government,Poor,7,Telesynch
115,2/20/2013,Infinite Gold Card,No,Credit Services,Brian Locke,51,High,Phone,Reseller,Poor,6,Telesynch
116,2/20/2013,Checking Accounts,No,Banking Services,Ali Hasem,24,Medium,Chat,Institutional,Poor,15,Telesynch
117,2/20/2013,Infinite Gold Card,Yes,Credit Services,Brad Stein,11,Medium,Phone,Government,Poor,20,Telesynch
118,2/20/2013,Checking Accounts,Yes,Banking Services,Bill Jones,53,Low,Phone,Institutional,Poor,13,Telesynch
119,2/22/2013,Securities Brokerage,No,Investment Services,Chen Lee,39,Low,Phone,Government,Poor,9,Telesynch
120,2/22/2013,Securities Brokerage,No,Investment Services,Jen Garcia,37,Low,Phone,Commercial,Poor,6,Telesynch
121,2/24/2013,Securities Brokerage,Yes,Investment Services,Vamsi Haji,13,Medium,Chat,Commercial,Poor,5,Telesynch
122,2/24/2013,Securities Brokerage,Yes,Investment Services,Kumar Prasad,18,Low,Phone,Direct,Poor,15,Telesynch
123,2/28/2013,Savings and Money Market,Yes,Banking Services,Bill Jones,42,Medium,Phone,Government,Poor,11,Telesynch
124,2/28/2013,Certificate of Deposit,Yes,Banking Services,Vamsi Haji,60,High,Chat,Institutional,Poor,17,Telesynch
125,2/28/2013,Platinum Plus Card,Yes,Credit Services,Sheila Straton,36,Medium,Chat,Institutional,Poor,10,Telesynch
126,2/28/2013,Mutual Funds,Yes,Investment Services,Brad Stein,33,Low,Chat,Commercial,Poor,3,Telesynch
127,2/28/2013,Savings and Money Market,No,Banking Services,Sheila Straton,47,Low,Chat,Government,Poor,2,Telesynch
128,2/28/2013,Platinum Plus Card,No,Credit Services,Cindy Yu,52,Medium,Phone,Government,Poor,19,Telesynch
129,2/28/2013,Certificate of Deposit,No,Banking Services,Bill Jones,50,Medium,Chat,Commercial,Poor,19,Telesynch
130,2/28/2013,Mutual Funds,Yes,Investment Services,Brian Locke,23,Low,Chat,Direct,Poor,3,Telesynch
131,3/1/2013,Checking Accounts,No,Banking Services,Jen Garcia,31,Low,Phone,Government,Poor,4,Telesynch
132,3/1/2013,Certificate of Deposit,No,Banking Services,Sheila Straton,22,Low,Phone,Government,Poor,10,Telesynch
133,3/1/2013,Rewards Card,No,Credit Services,Chen Lee,57,High,Phone,Government,Poor,17,Telesynch
134,3/1/2013,Silver Plus Card,No,Credit Services,Sheila Straton,16,Medium,Chat,Commercial,Poor,15,Telesynch
135,3/1/2013,Checking Accounts,Yes,Banking Services,Brad Stein,55,Low,Phone,Institutional,Poor,4,Telesynch
136,3/1/2013,Rewards Card,No,Credit Services,Ali Hasem,8,Medium,Chat,Reseller,Poor,11,Telesynch
137,3/1/2013,Certificate of Deposit,No,Banking Services,Chen Lee,37,Low,Chat,Institutional,Poor,5,Telesynch
138,3/1/2013,Silver Plus Card,Yes,Credit Services,Cindy Yu,51,High,Chat,Direct,Poor,7,Telesynch
139,3/3/2013,Variable Annuities,Yes,Investment Services,Sheila Straton,31,High,Phone,Government,Poor,16,Telesynch
140,3/3/2013,Silver Plus Card,Yes,Credit Services,Jen Garcia,49,Medium,Phone,Commercial,Poor,8,Telesynch
141,3/3/2013,Variable Annuities,No,Investment Services,Cindy Yu,17,Medium,Chat,Direct,Poor,1,Telesynch
142,3/3/2013,Mutual Funds,No,Investment Services,Ali Hasem,24,Low,Phone,Commercial,Poor,20,Telesynch
143,3/3/2013,Variable Annuities,No,Investment Services,Chen Lee,60,High,Chat,Direct,Poor,1,Telesynch
144,3/3/2013,Variable Annuities,Yes,Investment Services,Ali Hasem,58,Low,Phone,Government,Poor,19,Telesynch
145,3/3/2013,Silver Plus Card,No,Credit Services,Brad Stein,58,High,Chat,Direct,Poor,17,Telesynch
146,3/3/2013,Mutual Funds,No,Investment Services,Bill Jones,47,High,Phone,Direct,Poor,11,Telesynch
147,3/4/2013,Platinum Plus Card,Yes,Credit Services,Brian Locke,47,Low,Phone,Direct,Poor,1,Telesynch
148,3/4/2013,Silver Plus Card,Yes,Credit Services,Vamsi Haji,20,High,Chat,Commercial,Poor,4,Telesynch
149,3/4/2013,Platinum Plus Card,No,Credit Services,Kumar Prasad,9,Medium,Phone,Commercial,Poor,1,Telesynch
150,3/4/2013,Silver Plus Card,No,Credit Services,Jen Garcia,41,Low,Phone,Direct,Poor,5,Telesynch
151,3/12/2013,Infinite Gold Card,Yes,Credit Services,Bill Jones,16,High,Chat,Reseller,Poor,17,Telesynch
152,3/12/2013,Infinite Gold Card,Yes,Credit Services,Jen Garcia,27,Medium,Phone,Commercial,Poor,9,Telesynch
153,3/13/2013,Checking Accounts,Yes,Banking Services,Ali Hasem,41,Low,Phone,Direct,Poor,17,Telesynch
154,3/13/2013,Securities Brokerage,Yes,Investment Services,Brad Stein,55,Medium,Phone,Reseller,Poor,12,Telesynch
155,3/13/2013,Checking Accounts,No,Banking Services,Brian Locke,54,Low,Phone,Reseller,Poor,2,Telesynch
156,3/13/2013,Securities Brokerage,Yes,Investment Services,Vamsi Haji,47,Low,Phone,Institutional,Poor,11,Telesynch
157,3/14/2013,Retirement,Yes,Investment Services,Jen Garcia,56,Medium,Phone,Government,Poor,16,Telesynch
158,3/14/2013,Overdraft Protection Services,Yes,Banking Services,Brian Locke,19,Medium,Phone,Commercial,Poor,15,Telesynch
159,3/14/2013,Retirement,No,Investment Services,Jen Garcia,35,Medium,Chat,Commercial,Poor,15,Telesynch
160,3/14/2013,Overdraft Protection Services,Yes,Banking Services,Bill Jones,55,Medium,Chat,Direct,Poor,17,Telesynch
161,3/22/2013,Rewards Card,Yes,Credit Services,Brian Locke,26,High,Chat,Government,Poor,5,Telesynch
162,3/22/2013,Silver Plus Card,Yes,Credit Services,Bill Jones,51,Low,Chat,Direct,Poor,8,Telesynch
163,3/22/2013,Rewards Card,No,Credit Services,Bill Jones,13,High,Phone,Government,Poor,4,Telesynch
164,3/22/2013,Silver Plus Card,Yes,Credit Services,Brad Stein,60,High,Phone,Commercial,Poor,8,Telesynch
165,3/23/2013,Securities Brokerage,No,Investment Services,Vamsi Haji,45,Low,Chat,Direct,Poor,2,Telesynch
166,3/23/2013,Securities Brokerage,Yes,Investment Services,Brad Stein,34,Low,Chat,Institutional,Poor,15,Telesynch
167,3/23/2013,Checking Accounts,Yes,Banking Services,Cindy Yu,18,Medium,Chat,Direct,Poor,13,Telesynch
168,3/23/2013,Securities Brokerage,Yes,Investment Services,Cindy Yu,15,Low,Phone,Government,Poor,20,Telesynch
169,3/23/2013,Securities Brokerage,No,Investment Services,Ali Hasem,56,Low,Chat,Commercial,Poor,6,Telesynch
170,3/23/2013,Checking Accounts,No,Banking Services,Vamsi Haji,10,Low,Chat,Government,Poor,20,Telesynch
171,3/24/2013,Checking Accounts,Yes,Banking Services,Cindy Yu,40,Low,Chat,Reseller,Poor,18,Telesynch
172,3/24/2013,Checking Accounts,Yes,Banking Services,Cindy Yu,12,High,Phone,Commercial,Poor,13,Telesynch
173,3/29/2013,Infinite Gold Card,No,Credit Services,Bill Jones,40,Low,Phone,Commercial,Poor,15,Telesynch
174,3/29/2013,Infinite Gold Card,No,Credit Services,Kumar Prasad,53,High,Phone,Institutional,Poor,8,Telesynch
175,4/1/2013,Retirement,No,Investment Services,Cindy Yu,14,High,Chat,Institutional,Poor,16,Telesynch
176,4/1/2013,Overdraft Protection Services,No,Banking Services,Cindy Yu,55,Medium,Phone,Reseller,Poor,5,Telesynch
177,4/1/2013,Checking Accounts,Yes,Banking Services,Vamsi Haji,55,Low,Phone,Commercial,Poor,9,Telesynch
178,4/1/2013,Overdraft Protection Services,Yes,Banking Services,Bill Jones,55,Low,Phone,Government,Poor,11,Telesynch
179,4/1/2013,Checking Accounts,Yes,Banking Services,Sheila Straton,43,Medium,Phone,Reseller,Poor,3,Telesynch
180,4/1/2013,Silver Plus Card,Yes,Credit Services,Brad Stein,16,Medium,Chat,Institutional,Poor,20,Telesynch
181,4/1/2013,Infinite Gold Card,Yes,Credit Services,Vamsi Haji,28,Medium,Phone,Commercial,Poor,2,Telesynch
182,4/1/2013,Securities Brokerage,No,Investment Services,Sheila Straton,38,Medium,Phone,Institutional,Poor,4,Telesynch
183,4/1/2013,Platinum Plus Card,No,Credit Services,Cindy Yu,36,Low,Phone,Institutional,Poor,10,Telesynch
184,4/1/2013,Certificate of Deposit,No,Banking Services,Brad Stein,47,Medium,Chat,Direct,Poor,9,Telesynch
185,4/1/2013,Infinite Gold Card,Yes,Credit Services,Jen Garcia,56,Medium,Chat,Direct,Poor,17,Telesynch
186,4/1/2013,Infinite Gold Card,No,Credit Services,Vamsi Haji,48,Medium,Phone,Reseller,Poor,5,Telesynch
187,4/1/2013,Securities Brokerage,No,Investment Services,Vamsi Haji,13,Medium,Phone,Commercial,Poor,13,Telesynch
188,4/1/2013,Infinite Gold Card,No,Credit Services,Cindy Yu,52,Medium,Phone,Direct,Poor,13,Telesynch
189,4/1/2013,Platinum Plus Card,No,Credit Services,Bill Jones,56,High,Phone,Direct,Poor,14,Telesynch
190,4/1/2013,Retirement,Yes,Investment Services,Ali Hasem,29,High,Phone,Direct,Poor,2,Telesynch
191,4/1/2013,Checking Accounts,Yes,Banking Services,Ali Hasem,29,High,Phone,Institutional,Poor,16,Telesynch
192,4/1/2013,Checking Accounts,No,Banking Services,Brad Stein,57,Low,Chat,Commercial,Poor,7,Telesynch
193,4/1/2013,Certificate of Deposit,No,Banking Services,Brad Stein,27,High,Chat,Institutional,Poor,13,Telesynch
194,4/1/2013,Overdraft Protection Services,Yes,Banking Services,Kumar Prasad,27,Medium,Phone,Institutional,Poor,10,Telesynch
195,4/1/2013,Overdraft Protection Services,Yes,Banking Services,Vamsi Haji,28,Medium,Chat,Institutional,Poor,11,Telesynch
196,4/1/2013,Silver Plus Card,No,Credit Services,Brad Stein,26,Medium,Phone,Commercial,Poor,10,Telesynch
197,4/2/2013,Checking Accounts,Yes,Banking Services,Brian Locke,60,High,Chat,Government,Poor,16,Telesynch
198,4/2/2013,Overdraft Protection Services,Yes,Banking Services,Sheila Straton,15,Medium,Chat,Reseller,Poor,5,Telesynch
199,4/2/2013,Checking Accounts,Yes,Banking Services,Kumar Prasad,55,High,Chat,Institutional,Poor,7,Telesynch
200,4/2/2013,Overdraft Protection Services,No,Banking Services,Vamsi Haji,8,Medium,Phone,Commercial,Poor,12,Telesynch
201,4/4/2013,Variable Annuities,No,Investment Services,Brad Stein,52,Medium,Chat,Reseller,Poor,20,Telesynch
202,4/4/2013,Silver Plus Card,No,Credit Services,Cindy Yu,32,High,Phone,Direct,Poor,4,Telesynch
203,4/4/2013,Savings and Money Market,Yes,Banking Services,Kumar Prasad,47,Low,Phone,Commercial,Poor,16,Telesynch
204,4/4/2013,Silver Plus Card,Yes,Credit Services,Brad Stein,10,Medium,Chat,Reseller,Poor,12,Telesynch
205,4/4/2013,Variable Annuities,Yes,Investment Services,Jen Garcia,52,Medium,Phone,Government,Poor,16,Telesynch
206,4/4/2013,Silver Plus Card,Yes,Credit Services,Chen Lee,44,High,Phone,Government,Poor,4,Telesynch
207,4/4/2013,Variable Annuities,No,Investment Services,Kumar Prasad,52,Low,Phone,Commercial,Poor,12,Telesynch
208,4/4/2013,Savings and Money Market,No,Banking Services,Chen Lee,29,Low,Chat,Commercial,Poor,13,Telesynch
209,4/4/2013,Variable Annuities,No,Investment Services,Ali Hasem,47,High,Chat,Direct,Poor,14,Telesynch
210,4/4/2013,Silver Plus Card,No,Credit Services,Jen Garcia,38,Low,Phone,Institutional,Poor,17,Telesynch
211,4/4/2013,Silver Plus Card,Yes,Credit Services,Bill Jones,33,Medium,Phone,Direct,Poor,19,Telesynch
212,4/4/2013,Silver Plus Card,No,Credit Services,Sheila Straton,48,High,Phone,Institutional,Poor,19,Telesynch
213,4/10/2013,Savings and Money Market,No,Banking Services,Chen Lee,30,Low,Chat,Government,Poor,12,Telesynch
214,4/10/2013,Silver Plus Card,No,Credit Services,Bill Jones,24,Medium,Chat,Commercial,Poor,8,Telesynch
215,4/10/2013,Savings and Money Market,Yes,Banking Services,Ali Hasem,12,Medium,Phone,Government,Poor,7,Telesynch
216,4/10/2013,Silver Plus Card,Yes,Credit Services,Chen Lee,26,Low,Phone,Direct,Poor,11,Telesynch
217,4/11/2013,Securities Brokerage,No,Investment Services,Brian Locke,21,Medium,Chat,Commercial,Poor,15,Telesynch
218,4/11/2013,Checking Accounts,No,Banking Services,Bill Jones,24,Medium,Phone,Direct,Poor,13,Telesynch
219,4/11/2013,Mutual Funds,No,Investment Services,Brad Stein,18,Medium,Phone,Direct,Poor,6,Telesynch
220,4/11/2013,Checking Accounts,Yes,Banking Services,Bill Jones,32,High,Chat,Government,Poor,1,Telesynch
221,4/11/2013,Mutual Funds,Yes,Investment Services,Jen Garcia,11,Low,Phone,Direct,Poor,5,Telesynch
222,4/11/2013,Platinum Plus Card,Yes,Credit Services,Brad Stein,51,Medium,Chat,Direct,Poor,15,Telesynch
223,4/11/2013,Silver Plus Card,Yes,Credit Services,Vamsi Haji,43,Low,Chat,Commercial,Poor,20,Telesynch
224,4/11/2013,Platinum Plus Card,Yes,Credit Services,Kumar Prasad,11,Low,Chat,Government,Poor,17,Telesynch
225,4/11/2013,Certificate of Deposit,Yes,Banking Services,Vamsi Haji,26,Medium,Chat,Direct,Poor,4,Telesynch
226,4/11/2013,Savings and Money Market,Yes,Banking Services,Sheila Straton,31,Medium,Phone,Commercial,Poor,12,Telesynch
227,4/11/2013,Mutual Funds,Yes,Investment Services,Kumar Prasad,27,Medium,Phone,Institutional,Poor,9,Telesynch
228,4/11/2013,Securities Brokerage,Yes,Investment Services,Jen Garcia,11,Medium,Phone,Direct,Poor,20,Telesynch
